지역,이름,사업자,소재지,면적,홀,구분
경기,세현CC,세현씨씨,경기도 용인시 처인구 이동읍 백자로 450,997440,18,대중제
경기,한양컨트리클럽,한양컨트리클럽,경기도 고양시 덕양구 고양대로1643번길 164,1441066,36,회원제
경기,뉴코리아 컨트리클럽,신고려관광,경기도 고양시 덕양구 신원2로 57,880053,18,회원제
경기,고양컨트리클럽,고양컨트리클럽,경기도 고양시 덕양구 흥도로 304-23,295597,9,대중제
경기,1·2·3 골프장,123골프클럽,경기도 고양시 덕양구 통일로 43-168,334432,6,대중제
경기,올림픽 골프장,올림픽컨트리클럽,경기도 고양시 덕양구 혜음로 301,373921,9,대중제
경기,일산스프링힐스 컨트리클럽,고양스포츠,경기도 고양시 일산동구 산황로 108,230094,9,대중제
경기,한양파인컨트리클럽,서울컨트리클럽,경기도 고양시 덕양구 고양대로 1591,351587,9,대중제
경기,남서울컨트리클럽,경원건설,경기도 성남시 분당구 판교백현로 161,968466,18,회원제
경기,리베라컨트리클럽,관악,경기도 화성시 중리길 183,1613247,36,회원제
경기,기흥컨트리클럽,삼남개발,경기도 화성시 풀무골로106번길 244,2439666,36,회원제
경기,발리오스컨트리클럽,신창기업,경기도 화성시 팔탄면 3.1만세로 641-28,782451,18,회원제
경기,라비돌컨트리클럽,라비돌,경기도 화성시 정남면 세자로 286,261571,9,대중제
경기,화성 상록GC,공무원연금공단,경기도 화성시 풀무골로60번길 80,1463511,27,대중제
경기,화성골프클럽,리더스,경기도 화성시 남양읍 화성로 1393-27,199801,9,대중제
경기,링크나인골프클럽,금당개발,경기도 화성시 마도면 해운로630번길 49,166549,9,대중제
경기,양주 컨트리클럽,근영농산,경기도 남양주시 화도읍 북한강로 1525-52,1102660,18,회원제
경기,광릉CC,광릉레져개발,경기도 남양주시 진접읍 팔야로 280,962229,18,회원제
경기,비전힐스CC,비젼힐스,경기도 남양주시 화도읍 마치로 226-220,980000,18,회원제
경기,해비치 컨트리클럽,해비치컨트리클럽,경기도 남양주시 화도읍 재재기로 190번길 160,1256971,18,회원제
경기,남양주CC,라미드관광,경기도 남양주시 오남읍 진건오남로 516-31,349193,9,대중제
경기,더헤븐 컨트리클럽,더헤븐리조트,경기도 안산시 단원구 대선로466,1146858,27,대중제
경기,제일컨트리클럽,제일스포츠센타,경기도 안산시 상록구 태마당로28,1503268,27,회원제
경기,솔트베이 골프클럽,성담,경기도 시흥시 마유로 987,651583,18,대중제
경기,아세코밸리골프클럽,아세코,경기도 시흥시 마전로 307,189463,9,대중제
경기,김포SEASIDE 컨트리클럽,해강개발,경기도 김포시 월곶면 김포대로 2081번길 219,932683,18,회원제
경기,서서울 컨트리클럽,호반서서울,경기도 파주시 광탄면 혜음로 324,1035150,18,회원제
경기,서원밸리 골프장,서원레저,경기도 파주시 광탄면 서원길 333,840845,18,회원제
경기,서원힐스 골프장,서원레저,경기도 파주시 광탄면 서원길 333,1275973,27,대중제
경기,파주 J-Public 골프장,포스코와이드,경기도 파주시 조리읍 장곡로 100,153671,6,대중제
경기,파주컨트리클럽,파주컨트리클럽,경기도 파주시 법원읍 화합로 306,987556,18,대중제
경기,베스트밸리 골프클럽,베스트밸리골프클럽,경기도 파주시 광탄면 장지산로200번길 32-41,411962,9,대중제
경기,노스팜 컨트리클럽,노스팜,경기도 파주시 광탄면 쇠장이길 265,986314,18,대중제
경기,스마트KU 골프 파빌리온,건국대학교,경기도 파주시 법원읍 보광로 1616,1702444,27,대중제
경기,타이거CC 골프장,타이거레저,경기도 파주시 법원읍 술이홀로 1803,777560,18,대중제
경기,남촌컨트리클럽,남촌레저개발,경기도 광주시 곤지암읍 부항길 135-38,1079154,18,회원제
경기,이스트밸리CC,청남관광,경기도 광주시 곤지암읍 건업길 195,1543334,27,회원제
경기,그린힐 컨트리클럽,신안개발,경기도 광주시 곤지암읍 내선길 176,862228,18,회원제
경기,강남300 컨트리클럽,강남300컨트리클럽,경기도 광주시 새말길 353,830063,18,회원제
경기,로제비앙GC,경기관광개발,경기도 광주시 곤지암읍 오항길 180,1822710,27,대중제
경기,곤지암GC,디앤오,경기도 광주시 도척면 도척윗로 280,1038998,18,회원제
경기,중부컨트리클럽,애경중부컨트리,경기도 광주시 곤지암읍 경충대로 451,1094718,18,회원제
경기,뉴서울컨트리클럽,한국문화예술위원회,경기도 광주시 삼지곡길 95,2546525,36,회원제
경기,캐슬렉스골프클럽,캐슬렉스서울,경기도 하남시 감이로 317,1756532,18,회원제
경기,안양컨트리클럽,삼성물산,경기도 군포시 군포로364,878394,18,회원제
경기,레이크우드 골프장,로얄개발,경기도 양주시 만송로 244,1381472,27,회원제
경기,송추 컨트리클럽,티에스개발,경기도 양주시 광적면 쇠장이길 435,1401965,18,회원제
경기,에이치원 클럽,호반써밋,경기도 이천시 호법면 장자터로 115,1104419,18,회원제
경기,뉴스프링빌골프장,동승골프앤리조트,경기도 이천시 모가면 사실로 527번길 158,1584094,36,회원제
경기,비에이비스타골프장,삼풍관광,경기도 이천시 모가면 어농로 272,1479976,41,회원제
경기,더반 골프클럽,명문투자개발,경기도 이천시 대월면 대월로 627-141,299054,9,대중제
경기,사우스스프링스CC,사우스스프링스,경기도 이천시 모가면 공원로 64,975458,18,대중제
경기,블랙스톤골프장,블랙스톤리조트 이천,경기도 이천시 장호원읍 장여로 459-160,867728,18,회원제
경기,이천실크밸리골프클럽,이천실크밸리,경기도 이천시 율면 임오산로 296,1379636,27,대중제
경기,마이다스레이크 이천 골프&리조트,대교디앤에스,경기도 이천시 설성면 설가로 602,1398616,27,대중제
경기,웰링턴컨트리클럽,효성중공업,경기도 이천시 모가면 사실로 725번길 119-73,1467443,27,회원제
경기,더크로스비골프클럽,호법포레,경기도 이천시 호법면 중부대로798번길 177,1062819,27,대중제
경기,파인크리크CC,동양레저,경기도 안성시 양성면 안성맞춤대로 2417-13,1537924,27,대중제
경기,골프클럽Q,골프클럽큐레저산업,경기도 안성시 죽산면 장계길 20-229,1001876,18,대중제
경기,골프존카운티 안성H,골프존카운티,경기도 안성시 보개면 보삼로 302,1106489,18,대중제
경기,마에스트로 CC,천원종합개발,경기도 안성시 양성면 안성맞춤대로 2134-36,919620,18,대중제
경기,안성컨트리클럽,한일,경기도 안성시 죽산면 걸미로 487,1088870,18,회원제
경기,안성베네스트GC,삼성물산,경기도 안성시 금광면 삼흥로 660,1768847,27,회원제
경기,신안컨트리클럽,신안종합레져,경기도 안성시 고삼면 개울말길 149,1102867,18,회원제
경기,윈체스트 골프클럽 대중,다림개발,경기도 안성시 서운면 오촌길 97-31,826514,18,대중제
경기,포웰CC 안성,엔에이치투자증권,경기도 안성시 양성면 약산길 67-6,1189331,18,대중제
경기,골프존카운티 안성W,골프존카운티,경기도 안성시 양성면 교동길 19-70,565751,18,대중제
경기,한림안성,일송개발,경기도 안성시 양성면 양성로 349-61,262268,9,대중제
경기,에덴블루 컨트리클럽,죽산개발,경기도 안성시 죽산면 녹배길 175,1238246,27,대중제
경기,이글몬트CC,지씨에이치피,경기도 안성시 보개면 보삼로 106,1623018,27,대중제
경기,필로스 골프클럽,선운,경기도 포천시 일동면 운악청계로 1507,1519198,27,대중제
경기,포천아도니스 CC,아도니스,경기도 포천시 신북면 포천로 2499,1538257,27,회원제
경기,베어크리크골프클럽,삼보개발,경기도 포천시 화현면 달인동로 35,2255081,36,대중제
경기,몽베르 컨트리클럽,몽베르컨트리클럽,경기도 포천시 영북면 산정호수로 359-12,1209665,18,회원제
경기,일동레이크 골프클럽,농심개발,경기도 포천시 일동면 화동로 738,1154046,18,회원제
경기,푸른솔 골프클럽 포천,유진레저,경기도 포천시 가산면 금우로276,1415138,27,대중제
경기,포천힐스 컨트리클럽,한경엘앤디,경기도 포천시 군내면 반월산성로 375번길 34,1457261,27,대중제
경기,포레스트힐 컨트리클럽,화현개발,경기도 포천시 화현면 봉화로 253,1469871,24,대중제
경기,참밸리 컨트리클럽,참빛글로벌이앤씨,경기도 포천시 삼육사로 1982,1085944,18,대중제
경기,샴발라 컨트리클럽,샴발라,경기도 포천시 군내면 청군로 2856-93,853588,18,대중제
경기,라싸 골프클럽,라싸디벨로프먼트,경기도 포천시 이동면 제비울2길 161,1494588,27,대중제
경기,힐마루 골프앤리조트 포천,동훈,경기도 포천시 영중면 금화봉 4길 77-1,2701800,45,대중제
경기,더스타휴 컨트리클럽,한창산업개발,경기도 양평군 양동면 양동로 756,1107409,18,회원제
경기,양평TPC GC,대지개발,경기도 양평군 지평면 대평평장길 113-8,1901420,27,대중제
경기,YJC골프클럽,와이제이씨,경기도 여주시 월평로 78,1214791,27,회원제
경기,남여주대중골프장,남여주레저개발,경기도 여주시 가여로 532,1160742,27,대중제
경기,소피아그린,더케이소피아그린,경기도 여주시 점동면 소피아그린길 84,1438632,27,대중제
경기,솔모로골프장,한일레저,경기도 여주시 가남읍 솔모로그린길 171,1923897,36,회원제
경기,금강컨트리클럽,금강레저,경기도 여주시 가남읍 여주남로 541,890860,18,회원제
경기,자유컨트리클럽,조선호텔앤리조트 레져,경기도 여주시 가남읍 자유그린길 69,2057742,36,회원제
